name,selling_price,year,seller_type,owner,km_driven,ex_showroom_price,log_kms_driven
Honda CB Unicorn 150,50000,10,1,0,32000,74295.0,10.373522431293592
Honda Activa 5G,62000,5,1,0,3500,57557.0,8.160803920954665
Honda CB Twister,30000,11,1,0,9000,53857.0,9.105090961257085
Hero Splendor PRO,28000,9,1,0,38000,49642.0,10.545367754151743
Hero Honda CD Deluxe,25000,15,1,0,50000,87958.71405750798,10.819798284210286
Honda Activa i [2016-2017],30000,9,1,0,20000,51112.0,9.90353755128617
Royal Enfield Classic Gunmetal Grey,140000,6,1,0,22000,148114.0,9.99884318585288
TVS Scooty Zest 110,30000,7,1,0,9432,53751.0,9.151969458649853
Hero CD Deluxe,25000,10,1,0,70000,87958.71405750798,11.156264806643742
Suzuki Access 125 [2007-2016],22000,14,1,0,43000,58314.0,10.668978650219241
Honda Activa [2000-2015],22989,12,1,0,500000,50267.0,13.122365377402328
Honda Activa 125 [2016-2017],42000,8,1,0,30514,61653.0,10.325973644978596
Suzuki GS150R,30000,14,1,0,130000,70851.0,11.775297421715827
Bajaj Pulsar 220S,55000,9,1,0,45000,87958.71405750798,10.714439990727769
Honda Activa 4G,45000,6,1,0,25000,53079.0,10.12667110305036
Yamaha FZ25,150000,5,1,0,2500,133680.0,7.824445930877619
Bajaj Pulsar 150,42000,9,1,0,22770,87958.71405750798,10.033243075528665
Hero Splendor Plus,30000,9,1,0,30000,87958.71405750798,10.308985993422082
Bajaj Discover 100,24999,12,1,0,35000,42859.0,10.463131911491967
Royal Enfield Thunderbird 350X,160000,5,1,0,6330,87958.71405750798,8.753213480544126
Royal Enfield Classic 350,175000,4,1,0,500,87958.71405750798,6.2166061010848646
Bajaj Pulsar 150,40000,11,1,0,43400,87958.71405750798,10.6782377612977
Bajaj Pulsar NS160,85000,6,1,0,7004,87958.71405750798,8.854379458771108
Royal Enfield Classic Desert Storm,150000,7,1,0,16500,181445.0,9.711176264112805
Suzuki Gixxer SF,80000,6,1,0,12500,87958.71405750798,9.433563920090563
TVS Apache RTR 200 4V,95000,6,1,0,9600,87958.71405750798,9.169622538697624
Bajaj V15,42000,8,1,0,35000,65626.0,10.463131911491967
TVS XL 100 Heavy Duty,40000,5,1,0,11000,87958.71405750798,9.305741456739435
Yamaha FZ S V 2.0,50000,9,1,0,20000,84042.0,9.90353755128617
Hero HF Deluxe,40000,6,1,0,13000,87958.71405750798,9.472781556562168
Aprilia SR 125,75000,5,1,0,3500,87958.71405750798,8.160803920954665
Yamaha FZ25,120000,7,1,0,9000,132680.0,9.105090961257085
Hero Honda Glamour,30000,16,1,0,7500,87958.71405750798,8.922791623969637
Bajaj Discover 125 ST,17500,11,1,0,38000,58438.0,10.545367754151743
Hero Honda Passion Plus,7500,20,1,0,120000,87958.71405750798,11.695255355062795
Honda Aviator,57000,6,1,0,6465,61118.0,8.774312958285378
Vespa SXL 149,80000,6,1,0,18803,87958.71405750798,9.841824892144022
TVS Scooty Pep Plus,18000,14,1,0,20000,87958.71405750798,9.90353755128617
Hero Xtreme [2013-2014],25000,11,1,0,24000,75936.0,10.085850775128717
Royal Enfield Thunderbird 350,83900,10,1,0,22000,87958.71405750798,9.99884318585288
UM Renegade Commando,160000,6,1,0,7000,180525.0,8.853808274977197
Royal Enfield Classic Gunmetal Grey,135000,6,1,0,6100,148114.0,8.716207971151853
Honda CB Hornet 160R,55000,7,1,0,14000,87543.0,9.546884034617925
Honda Shine,50000,7,1,0,23000,87958.71405750798,10.043292972227004
Bajaj Discover 100,20000,12,1,0,85000,42859.0,11.350418300109132
Hero Honda CBZ extreme,25000,14,1,0,40000,87958.71405750798,10.596659732783579
Royal Enfield Classic 350,125000,7,1,0,18000,87958.71405750798,9.798182590890704
Honda Activa 5G,55000,5,1,0,10000,57557.0,9.210440366976517
Bajaj Avenger Street 150 [2018],50000,8,1,0,40000,80435.0,10.596659732783579
Royal Enfield Continental GT 650,299000,5,1,0,1500,87958.71405750798,7.313886831633462
Honda Activa 3G,60000,9,1,0,30000,54605.0,10.308985993422082
Honda Activa 3G,40000,9,1,0,3000,54605.0,8.006700845440367
Bajaj Pulsar 180,15000,16,1,0,55000,85011.0,10.915106645867503
